field,value
segnatura,SR
noName,262.1/197
cod_sez,AE
n_s_sez,3
autore,SINODO DEI VESCOVI
titolo,LA CATECHESI NEL NOSTRO TEMPO CON PARTICOLARE RIFERIMENTO AI FANCIULLI E AI GIOVANI
collabor,4 ASSEMBLEA GENERAL.DEL SINODO DEI VESCOVI-1977
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1977
volume,2025-01-01 00:00:00
pagine,24
formato,16
collezion,IL PASTORE N.33
data_crea,2003-02-27 00:00:00
n_scheda,42109
segnatura,SR
noName,262.1/196
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
titolo,"PAPA GIOVANNI PAOLO II AGLI ITALIANI PALERMO, 23 NOV. 1995"
edizione,I
luogo_pub,MILANO
editore,MIMEP-DOCETE
data_pub,COPYRIGHT 1995
volume,2025-01-01 00:00:00
pagine,32
formato,19
collezion,IL TESTAMENTO SPIRITUALE DEL PAPA
data_crea,2003-02-27 00:00:00
n_scheda,42108
segnatura,SR
noName,262.1/195
cod_sez,AE
n_s_sez,3
autore,"PAOLO VI, PAPA"
titolo,SACRUM DIACONATUS ORDINEM MOTU PROPRIO SUL RIPRISTINO DEL DIACONATO PERMANENTE 1967
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1967
volume,2025-01-01 00:00:00
pagine,14
formato,16
collezion,IL PASTORE N. 174
data_crea,2003-02-27 00:00:00
n_scheda,42107
segnatura,SR
noName,262.1/194
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1976
volume,2025-01-01 00:00:00
pagine,23
formato,17
collezion,DOCUMENTI CONGREGAZIONE -DOTTRINA DELLA FEDE - N.8
data_crea,2003-02-26 00:00:00
n_scheda,42106
segnatura,SR
noName,262.1/193
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1985
volume,2025-01-01 00:00:00
pagine,64
formato,17
collezion,DOCUMENTI CONFERENZE DI VESCOVI N.35
data_crea,2003-02-26 00:00:00
n_scheda,42105
segnatura,SR
noName,262.1/192
cod_sez,AE
n_s_sez,3
autore,CONFERENZA EPISCOPALE TEDESCA
