field,value
titolo,PROSPETTIVE DI SVILUPPO E RISCHI DELLA SOCIETA' DEI MEDIA ESCA
collabor,DICHIARAZIONE CONGIUNTA CON IL CONSIGLIO DELLA CHIESA EVANGELICA TED
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1998
volume,2025-01-01 00:00:00
pagine,123
formato,16
collezion,DOCUMENTI CONFERENZE DI VESCOVI N. 3
data_crea,2003-02-26 00:00:00
n_scheda,42104
segnatura,SR
noName,262.1/191
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1998
volume,2025-01-01 00:00:00
pagine,31
formato,16
collezion,DOCUMENTI CEI N.10
data_crea,2003-02-26 00:00:00
n_scheda,42103
segnatura,SR
noName,262.1/190
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1975
volume,2025-01-01 00:00:00
pagine,63
formato,18
collezion,DOCUMENTI CEI N.15
data_crea,2003-02-26 00:00:00
n_scheda,42102
segnatura,SR
noName,262.1/189
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1973
volume,2025-01-01 00:00:00
pagine,48
formato,18
collezion,DOCUMENTI CEI N.5
data_crea,2003-02-26 00:00:00
n_scheda,42101
segnatura,SR
noName,262.1/188
cod_sez,AE
n_s_sez,3
autore,C.E.I.
titolo,EVANGELIZZAZIONE E SACRAMENTI DELLA PENITENZA E DELL'UNZIONE DEGLI I NFERMI
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1974
volume,2025-01-01 00:00:00
pagine,63
formato,18
collezion,DOCUMENTI CEI N.11
data_crea,2003-02-26 00:00:00
n_scheda,42100
segnatura,SR
noName,262.1/187
cod_sez,AE
n_s_sez,3
autore,C.E.I.
titolo,IL DIRITTO A NASCERE IL DIACONATO PERMANENTE L'IMPEGNO MORALE DEL CRISTIANO
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1972
volume,2025-01-01 00:00:00
pagine,40
formato,18
collezion,DOCUMENTI CEI N.4
data_crea,2003-02-26 00:00:00
n_scheda,42099
segnatura,SE
noName,"29,484"
cod_sez,SE
n_s_sez,29
soggetto,"BOSCO, GIOVANNI, S. AGIOGRAFIA"
autore,"CERIA, EUGENIO"
edizione,II
luogo_pub,TORINO
editore,S.E.I.
data_pub,1949
volume,2025-01-01 00:00:00
pagine,442
illustr,TAV. [A COL.]
formato,32
data_crea,2003-02-26 00:00:00
n_scheda,42098
segnatura,SR
noName,262.1/186
cod_sez,AE
n_s_sez,3
autore,C.E.I.
titolo,LA LIBERTA' NELLA VITA SOCIALE APPENDICE-MESSAGGIO IN OCCASIONE DEL XXX ANNIVESARIO DELLA LIBER AZIONE
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1975
volume,2025-01-01 00:00:00
pagine,15
formato,18
collezion,DOCUMENTI CEI N.13
data_crea,2003-02-26 00:00:00
n_scheda,42097
segnatura,SE
noName,"4,12"
cod_sez,SE
n_s_sez,4
collabor,ITALIA CATTOLICA [A CURA DI]
luogo_pub,ROMA
editore,I.E.I.P.
data_pub,COPYRIGHT 1949
volume,2025-01-01 00:00:00
pagine,316
formato,33.5
data_crea,2003-02-26 00:00:00
n_scheda,42096
segnatura,SE
noName,"4,13"
cod_sez,SE
n_s_sez,4
autore,"SCHWARZENBERG, CLAUDIO"
luogo_pub,ROMA
editore,BIBLIOTECA FIDES
data_pub,COPYRIGHT 1983
volume,2025-01-01 00:00:00
pagine,188
illustr,ILL. [FOT.]
formato,30.5
data_crea,2003-02-26 00:00:00
n_scheda,42095
segnatura,SR
noName,262.1/185
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
titolo,INCARNATIONIS MYSTERIUM BOLLA D'INDIZIONE DEL GRANDE GIUBILEO DELL'ANNO 2000
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1998
volume,2025-01-01 00:00:00
pagine,35
formato,17
collezion,MAGISTERO N.280
data_crea,2003-02-26 00:00:00
n_scheda,42094
segnatura,C 2
noName,"/13,II"
cod_sez,C
n_s_sez,2
autore,"CONSTANS, H. ; GASTALDI, PIETRO PAOLO, O.M.V."
titolo,LE VENERABLE JOSEPH-BENOIT COTTOLENGO. LES PRODIGES DE LA CHARITE CH RETIENNE. V. II
luogo_pub,PARIS
editore,LIBR. BLOUD ET BARRAL
data_pub,1895 [?]
volume,2025-02-02 00:00:00
pagine,"XIII,606"
formato,25
data_crea,2003-02-26 00:00:00
n_scheda,42093
segnatura,X A
noName,",IV/85"
cod_sez,AR
n_s_sez,0
luogo_pub,NACHFOLGER/KONIGSTEIN IM TAUNUS
editore,K. ROBERT LANGEWIESCHE/HANS KOSTER
data_pub,COPYRIGHT 1959
volume,2025-01-01 00:00:00
pagine,80
illustr,ILL. [BIANCONERO E A COL.]
formato,26
data_crea,2003-02-26 00:00:00
n_scheda,42092
segnatura,BL
noName,"11/68,II"
cod_sez,BL
n_s_sez,11
autore,"FORNARI, VITO, SAC."
edizione,V
luogo_pub,TORINO
editore,S.E.I.
data_pub,1949
volume,2025-02-02 00:00:00
pagine,"XVIII,744"
formato,22.5
data_crea,2003-02-26 00:00:00
n_scheda,42091
segnatura,BL
noName,"11/68,I (I-II)"
cod_sez,BL
n_s_sez,11
autore,"FORNARI, VITO, SAC."
edizione,V
luogo_pub,TORINO
editore,S.E.I.
data_pub,1949
volume,2025-02-01 00:00:00
pagine,"XXXIV,559"
formato,22.5
data_crea,2003-02-26 00:00:00
n_scheda,42090
segnatura,SE
noName,"30,373"
cod_sez,SE
n_s_sez,30
soggetto,"STOPPANI, ANTONIO. BIOGRAFIA"
autore,"MONTICONE, SEVERINO"
luogo_pub,ALBA (CN)
editore,PIA SOC. SAN PAOLO
data_pub,1944
volume,2025-01-01 00:00:00
pagine,227
illustr,ILL. FUORI TESTO
formato,22
data_crea,2003-02-26 00:00:00
n_scheda,42089
segnatura,SP
noName,"3,43"
cod_sez,SP
n_s_sez,3
autore,"AMBROGIO, S."
collabor,"CRISTOFOLI A.,CURAT."
luogo_pub,LA SANTA (MI)
editore,IST. EDITORIALE ITALIANO
data_pub,1926
volume,2025-01-01 00:00:00
pagine,274
formato,18
note_sp,"BIBLIOTECA DEI SANTI, V. 9, DIR. DA MONS. G. GALBI"
data_crea,2003-02-26 00:00:00
n_scheda,42088
segnatura,SP
noName,"4,60"
cod_sez,SP
n_s_sez,4
autore,"CARLO, BORROMEO, S."
collabor,"GORLA C.,CURAT."
luogo_pub,LA SANTA (MI)
editore,IST. EDITORIALE ITALIANO
data_pub,1926
volume,2025-01-01 00:00:00
pagine,294
formato,18
note_sp,"BIBLIOTECA DEI SANTI, DIR. DA MONS. G. GALBIATI"
data_crea,2003-02-26 00:00:00
n_scheda,42087
segnatura,LE
noName,3-B/92
cod_sez,LE
n_s_sez,3
autore,"BARGELLINI, PIERO"
edizione,VII
luogo_pub,FIRENZE
editore,VALLECCHI
data_pub,COPYRIGHT 1963
volume,2025-01-01 00:00:00
pagine,"VIII,706"
illustr,TAV. [A COL.]
formato,22.5
data_crea,2003-02-26 00:00:00
n_scheda,42086
segnatura,TD
noName,"20,151"
cod_sez,TD
n_s_sez,20
autore,"ROCCO, ANTONIO, C.R.S."
luogo_pub,NAPOLI
editore,EDIZIONI DOMENICANE ITALIANE
data_pub,1965
volume,2025-01-01 00:00:00
pagine,473
illustr,1 TAV.
formato,24
data_crea,2003-02-26 00:00:00
n_scheda,42085
segnatura,SE
noName,"29,527"
cod_sez,SE
n_s_sez,29
soggetto,SANTI - VITA
autore,"BARGELLINI, PIERO"
edizione,II
luogo_pub,FIRENZE
editore,VALLECCHI
data_pub,COPYRIGHT 1961
volume,2025-01-01 00:00:00
pagine,"VII,745"
illustr,TAV. [A COL.]
formato,23.5
data_crea,2003-02-26 00:00:00
n_scheda,42084
segnatura,SE
noName,"29,526"
cod_sez,SE
n_s_sez,29
soggetto,"ALESSANDRO, SAULI, S. AGIOGRAFIA"
autore,"MOLTEDO, FRANCESCO T."
titolo,"VITA DI S. ALESSANDRO SAULI, DELLA CONGREGAZIONE DEI BARNABITI, VESC O VO DI ALERIA POI DI PAVIA"
luogo_pub,NAPOLI
editore,M. D'AURIA
data_pub,1904
volume,2025-01-01 00:00:00
pagine,535
illustr,"ANT. [CON F. DI GUARDIA], 1 CARTINA"
formato,22.5
data_crea,2003-02-26 00:00:00
n_scheda,42083
segnatura,SR
noName,262.1/184
cod_sez,AE
n_s_sez,3
autore,PONTIFICIA OPERA PER LE VOCAZIONI ECCLESIASTICHE
edizione,II
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 1998-99
volume,2025-01-01 00:00:00
pagine,165
formato,17
collezion,LA VOCE DELLE CHIESE LOCALI N. 4
data_crea,2003-02-26 00:00:00
n_scheda,42082
segnatura,SR
noName,262.1/183
cod_sez,AE
n_s_sez,3
autore,C.E.I.
titolo,COMUNICARE IL VANGELO IN UN MONDO CHE CAMBIA ORIENTAMENTI PASTORALI DELL'EPISCOPATO ITALIANO PER IL PRIMO DEC ENNIO DEL 2000
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 2001
volume,2025-01-01 00:00:00
pagine,96
formato,18
collezion,DOCUMENTI C.E.I. N. 113
data_crea,2003-02-26 00:00:00
n_scheda,42081
segnatura,SR
noName,262.1/182
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
collabor,"LINO BARACCO, CURAT."
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1982
volume,2025-01-01 00:00:00
pagine,31
formato,18
collezion,SERVIZIO DELL'UNITA' N.32
data_crea,2003-02-26 00:00:00
n_scheda,42080
segnatura,SR
noName,262.1/181
cod_sez,AE
n_s_sez,3
autore,PONTIFICIO CONSIGLIO PER I LAICI
titolo,LA DIGNITA' DELL'ANZIANO E LA SUA MISSIONE NELLA CHIESA E NEL MONDO
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1999
volume,2025-01-01 00:00:00
pagine,33
formato,21
collezion,DOCUMENTI SANTA SEDE N.59
data_crea,2003-02-26 00:00:00
n_scheda,42079
segnatura,SR
noName,262.1/180
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 2001
volume,2025-01-01 00:00:00
pagine,48
formato,21
collezion,DOCUMENTI SANTA SEDE N.71
data_crea,2003-02-26 00:00:00
n_scheda,42078
segnatura,SR
noName,262.1/179
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,ROMA
editore,L.E.VATICANA
data_pub,COPYRIGHT 1999
volume,2025-01-01 00:00:00
pagine,40
formato,16.5
collezion,DOCUMENTI PONTIFICI N.289
data_crea,2003-02-26 00:00:00
n_scheda,42077
segnatura,SR
noName,262.1/178
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,ROMA
editore,LIB. ED. VATICANA
data_pub,COPYRIGHT 1995
volume,2025-01-01 00:00:00
pagine,113
formato,16.5
collezion,DOCUMENTI PONTIFICI N.10
data_crea,2003-02-26 00:00:00
n_scheda,42076
segnatura,SR
noName,262.1/177
cod_sez,AE
n_s_sez,3
autore,COMMISSIONE EPISCOPALE PER LA COOPERAZIONE TRA LE
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1990
volume,2025-01-01 00:00:00
pagine,25
formato,21
collezion,DOCUMENTI NUOVA SERIE N. 38
data_crea,2003-02-26 00:00:00
n_scheda,42075
segnatura,SR
noName,262.1/176
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
titolo,"CRITERI DIRETTIVI SUI RAPPORTI TRA VESCOVI E RELIGIOSI NELLA CHIESA ""MUTUAE RELATIONES"""
edizione,I
luogo_pub,TORINO
editore,LDC
data_pub,COPYRIGHT 1979
volume,2025-01-01 00:00:00
pagine,64
formato,17.5
collezion,VITA CONSACRATA N. 3
data_crea,2003-02-26 00:00:00
n_scheda,42074
segnatura,SR
noName,262.1/175
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 2002
volume,2025-01-01 00:00:00
pagine,63
formato,17
collezion,MAGISTERO N. 304
data_crea,2003-02-26 00:00:00
n_scheda,42073
segnatura,SR
noName,262.1/174
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE ISTITUTI DI VITA CONSACRATA
edizione,II
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 2002-02
volume,2025-01-01 00:00:00
pagine,93
formato,17
collezion,MAGISTERO N.303
data_crea,2003-02-26 00:00:00
n_scheda,42072
segnatura,SR
noName,262.1/173
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE
edizione,I
luogo_pub,MILANO
editore,PAOLINE
data_pub,COPYRIGHT 2000
volume,2025-01-01 00:00:00
pagine,27
formato,17
collezion,MAGISTERO N.297
data_crea,2003-02-26 00:00:00
n_scheda,42071
segnatura,SR
noName,262.1/172
cod_sez,AE
n_s_sez,3
autore,SINODO DEI VESCOVI
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1990
volume,2025-01-01 00:00:00
pagine,22
formato,21
collezion,DOCUMENTI SANTA SEDE N.5
data_crea,2003-02-26 00:00:00
n_scheda,42070
segnatura,SR-
noName,262.1/172
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE EDUCAZIONE CATTOLICA SEMINARI
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1988
volume,2025-01-01 00:00:00
pagine,46
formato,21
collezion,DOCUMENTI NUOVA SERIE N.10
data_crea,2003-02-26 00:00:00
n_scheda,42069
segnatura,SR
noName,262.1/171
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,12
formato,21
collezion,DOCUMENTI NUOVA SERIE N.26
data_crea,2003-02-25 00:00:00
n_scheda,42068
segnatura,SR
noName,262.1/170
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,25
formato,21
collezion,DOCUMENTI NUOVA SERIE N.27
data_crea,2003-02-25 00:00:00
n_scheda,42067
segnatura,SR
noName,262.1/169
cod_sez,AE
n_s_sez,3
autore,"PONTIFICIA COMMISSIONE ""IUSTITIA ET PAX"""
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1998
volume,2025-01-01 00:00:00
pagine,35
formato,21
collezion,DOCUMENTI CHIESE LOCALI N.69
data_crea,2003-02-25 00:00:00
n_scheda,42066
segnatura,SR
noName,262.1/168
cod_sez,AE
n_s_sez,3
autore,CONFERENZA EPISCOPALE PIEMONTESE
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1992
volume,2025-01-01 00:00:00
pagine,21
formato,21
collezion,DOCUMENTI CHIESE LOCALI N.21
data_crea,2003-02-25 00:00:00
n_scheda,42065
segnatura,SR
noName,262.1/167
cod_sez,AE
n_s_sez,3
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1991
volume,2025-01-01 00:00:00
pagine,24
formato,21
collezion,DOCUMENTI CHIESE LOCALI N.10
note_sp,XLI SETTIMANA SOCIALE-DOCUMENTO FINALE
data_crea,2003-02-25 00:00:00
n_scheda,42064
segnatura,SR
noName,262.1/166
cod_sez,AE
n_s_sez,3
autore,CARITAS ITALIANA
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1999
volume,2025-01-01 00:00:00
pagine,47
formato,21
collezion,DOCUMENTI CHIESE LOCALI N.84
data_crea,2003-02-25 00:00:00
n_scheda,42063
segnatura,SR
noName,262.1/165
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
titolo,"IO SONO LA VITE, VOI SIETE I TRALCI MESS. AI GIOVANI PER LA V GIORNATA DELLA GIOVENTU' 1990"
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,11
formato,21
collezion,DOCUMENTI SANTA SEDE N.33
data_crea,2003-02-25 00:00:00
n_scheda,42062
segnatura,SR
noName,262.1/164
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1998
volume,2025-01-01 00:00:00
pagine,89
formato,21
collezion,DOCUMENTI SANTA SEDE N.56
data_crea,2003-02-25 00:00:00
n_scheda,42061
segnatura,SR
noName,262.1/163
cod_sez,AE
n_s_sez,3
autore,CONGREGAZIONE PER LA DOTTRINA DELLA FEDE
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 2000
volume,2025-01-01 00:00:00
pagine,43
formato,21
collezion,DOCUMENTI SANTA SEDE N.69
data_crea,2003-02-25 00:00:00
n_scheda,42060
segnatura,SR
noName,262.1/162
cod_sez,AE
n_s_sez,3
autore,PONTIFICIO CONSIGLIO DELLE COMUNICAZIONI SOCIALI
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1992
volume,2025-01-01 00:00:00
pagine,25
formato,21
collezion,DOCUMENTI SANTA SEDE N.12
data_crea,2003-02-25 00:00:00
n_scheda,42059
segnatura,SR
noName,262.1/161
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1994
volume,2025-01-01 00:00:00
pagine,23
formato,21
collezion,DOCUMENTI CHIESE LOCALI N.43
data_crea,2003-02-25 00:00:00
n_scheda,42058
segnatura,SR
noName,262.1/158
cod_sez,AE
n_s_sez,3
autore,"PONTIFICIA COMMISSIONE ""IUSTITIA ET PAX"""
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1989
volume,2025-01-01 00:00:00
pagine,36
formato,21
collezion,DOCUMENTI SANTA SEDE N. 18
data_crea,2003-02-25 00:00:00
n_scheda,42057
segnatura,SR
noName,262.1/160
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
titolo,I CAMMINI DEL VANGELO LETTERA APOSTOLICA AI RELIGIOSI E ALLE RELIGIOSE DELL'AMERICA LA TINA
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1990
volume,2025-01-01 00:00:00
pagine,33
formato,21
collezion,DOCUMENTI SANTA SEDE N. 3
data_crea,2003-02-25 00:00:00
n_scheda,42056
segnatura,SR
noName,262.1/159
cod_sez,AE
n_s_sez,3
autore,"GIOVANNI PAOLO II, PAPA"
edizione,I
luogo_pub,BOLOGNA
editore,EDB
data_pub,COPYRIGHT 1990
volume,2025-01-01 00:00:00
pagine,33
formato,21
collezion,DOCUMENTI SANTA SEDE N. 4
data_crea,2003-02-25 00:00:00
n_scheda,42055
segnatura,SR
noName,262.1/157
cod_sez,AE
n_s_sez,3
autore,C.E.I.
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1971
volume,2025-01-01 00:00:00
pagine,48
formato,16
collezion,IL PASTORE N. 184
data_crea,2003-02-25 00:00:00
n_scheda,42054
segnatura,SE
noName,"29,525"
cod_sez,SE
n_s_sez,29
soggetto,"CATERINA, DA SIENA, S. AGIOGRAFIA"
autore,"RAIMONDO, DA CAPUA, B."
collabor,"TINAGLI G.,O.P.,TRAD."
luogo_pub,SIENA
editore,CANTAGALLI
data_pub,1934
volume,2025-01-01 00:00:00
pagine,550
illustr,"ILL., TAV. PIEG."
formato,19.5
data_crea,2003-02-25 00:00:00
n_scheda,42053
segnatura,SR
noName,262.1/156
cod_sez,AE
n_s_sez,3
titolo,SACROSANCTUM CONCILIUM COSTITUZIONE CONC. SULLA SACRA LITURGIA
collabor,CONCILIO VAT. II
edizione,VII
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1966
volume,2025-01-01 00:00:00
pagine,63
formato,16
collezion,IL PASTORE N. 132
data_crea,2003-02-25 00:00:00
n_scheda,42052
segnatura,SR
noName,262.1/155
cod_sez,AE
n_s_sez,3
collabor,CONCILIO VAT. II
edizione,I
luogo_pub,ROMA
editore,PAOLIN
data_pub,COPYRIGHT 1968
volume,2025-01-01 00:00:00
pagine,95
formato,16
collezion,IL PASTORE N. 132
data_crea,2003-02-25 00:00:00
n_scheda,42051
segnatura,AE
noName,"4,8"
cod_sez,AE
n_s_sez,4
collabor,"SANDRI LUIGI,CURAT."
luogo_pub,BOLOGNA
editore,E.D.B.
data_pub,COPYRIGHT 1969
volume,2025-01-01 00:00:00
pagine,"468,55 [INDICE ANAL.]"
formato,17
data_crea,2003-02-25 00:00:00
n_scheda,42050
segnatura,SE
noName,"25,71"
cod_sez,SE
n_s_sez,25
autore,"DE ANDREIS, STEFANO ; LEONE, MARCELLA"
edizione,I
luogo_pub,MILANO
editore,EDITRICE MAGMA
data_pub,COPYRIGHT 1978
volume,2025-01-01 00:00:00
pagine,110
formato,19
data_crea,2003-02-25 00:00:00
n_scheda,42049
segnatura,TM
noName,"7,22"
cod_sez,TM
n_s_sez,7
autore,"WOJTYLA, KAROL, CARD."
collabor,"BERTI MILANOLI A.,TRAD."
edizione,II/RISTAMPA
luogo_pub,CASALE MONFERRATO (AL)
editore,MARIETTI
data_pub,1978
volume,2025-01-01 00:00:00
pagine,287
formato,21.5
note_sp,"OP. DOPPIA, DIVERSA ED."
data_crea,2003-02-25 00:00:00
n_scheda,42048
segnatura,TD
noName,"3,14"
cod_sez,TD
n_s_sez,3
titolo,"IL MESSAGGIO DI SANTA CATERINA DA SIENA, DOTTORE DELLA CHIESA. TUTTO IL PENSIERO DELLA VERGINE SENESE ESPOSTO CON LE SUE PAROLE RIDOTTE A FORMA MODERNA"
luogo_pub,ROMA
editore,EDIZIONI VINCENZIANE
data_pub,COPYRIGHT 1970
volume,2025-01-01 00:00:00
pagine,"LI,1164"
formato,21
data_crea,2003-02-25 00:00:00
n_scheda,42047
segnatura,SP
noName,"3,42"
cod_sez,SP
n_s_sez,3
autore,"CATERINA, DA SIENA, S."
titolo,IL DIALOGO DELLA DIVINA PROVVIDENZA OVVERO LIBRO DELLA DIVINA DOTTRI NA
collabor,"CAVALLINI G.,CURAT."
luogo_pub,ROMA
editore,EDIZIONI CATERINIANE
data_pub,1968
volume,2025-01-01 00:00:00
pagine,"XLIII,521"
formato,21
note_sp,"TESTI CATERINIANI,I"
data_crea,2003-02-25 00:00:00
n_scheda,42046
segnatura,SE
noName,"30,372"
cod_sez,SE
n_s_sez,30
soggetto,SANTI - VITA
autore,"MONDRONE, DOMENICO, S.I."
luogo_pub,TORINO
editore,S.E.I.
data_pub,1960
volume,2025-01-01 00:00:00
pagine,"VII,447"
illustr,"TAV.,FOT."
formato,23.5
data_crea,2003-02-25 00:00:00
n_scheda,42045
segnatura,TD
noName,"2,V/122"
cod_sez,TD
n_s_sez,2
autore,"WERBICK, JURGEN"
collabor,"DANNA CARLO,TRAD."
luogo_pub,BRESCIA
editore,EDITRICE QUERINIANA
data_pub,COPYRIGHT 2002
volume,2025-01-01 00:00:00
pagine,1076
formato,23
collezion,"BIBLIOTECA DI TEOLOGIA CONTEMPORANEA, N. 122"
cod_isbn,88-399-0422-0
data_crea,2003-02-25 00:00:00
n_scheda,42044
segnatura,SE
noName,"29,528"
cod_sez,SE
n_s_sez,29
soggetto,"DURANDO, MARCANTONIO, B."
autore,"CHIEROTTI, LUIGI, C.M."
luogo_pub,GENOVA
editore,TIPO-LITOGR. SORRISO FRANCESCANO
data_pub,2001
volume,2025-01-01 00:00:00
pagine,565
illustr,"ILL.,FACS.,TAV. [IN FONDO AL V.]"
formato,22
note_sp,"OP. DOPPIA, DIVERSA ED."
data_crea,2003-02-25 00:00:00
n_scheda,42043
segnatura,
noName,
cod_sez,SE
n_s_sez,29
soggetto,"DURANDO, MARCANTONIO, B."
autore,"CHIEROTTI, LUIGI, C.M."
luogo_pub,GENOVA
editore,TIPO-LITOGR. SORRISO FRANCESCANO
data_pub,2001
volume,2025-01-01 00:00:00
pagine,565
illustr,"ILL.,FACS.,TAV. [IN FONDO AL V.]"
formato,21
note_sp,"OP. DOPPIA, DIVERSA ED."
data_crea,2003-02-25 00:00:00
n_scheda,42042
segnatura,SE
noName,"29,529"
cod_sez,SE
n_s_sez,29
soggetto,"DURANDO, MARCANTONIO, B."
autore,"CHIEROTTI, LUIGI, C.M."
luogo_pub,CINISELLO BALSAMO (MI)
editore,EDIZIONI SAN PAOLO S.R.L.
data_pub,COPYRIGHT 2002
volume,2025-01-01 00:00:00
pagine,122
illustr,TAV. [FOT.]
formato,20
cod_isbn,88-215-4699-3
data_crea,2003-02-25 00:00:00
n_scheda,42041
segnatura,FL
noName,"21,40"
cod_sez,FL
n_s_sez,21
autore,"SCHOPENHAUER, ARTHUR"
titolo,L'ARTE DI FARSI RISPETTARE ESPOSTA IN 14 MASSIME OVVERO TRATTATO SUL L'ONORE
collabor,"VOLPI FRANCO,CURAT. / GURISATTI GIOVANNI,TRAD."
edizione,III
luogo_pub,MILANO
editore,ADELPHI
data_pub,COPYRIGHT 1998
volume,2025-01-01 00:00:00
pagine,89
formato,18
note_sp,CON UN SAGGIO DI F. VOLPI / PICCOLA BIBLIOTECA ADE
cod_isbn,88-459-1374-0
data_crea,2003-02-25 00:00:00
n_scheda,42040
segnatura,SR
noName,262.1/154
cod_sez,AE
n_s_sez,3
autore,"PIO XII, PAPA"
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1957
volume,2025-01-01 00:00:00
pagine,32
formato,16
collezion,RADIOMESSAGGIO DO S.S PIO ZXII NEL NATALE 1957 -
data_crea,2003-02-25 00:00:00
n_scheda,42039
segnatura,SR
noName,262.1/153
cod_sez,AE
n_s_sez,3
autore,"PIO XII, PAPA"
edizione,I
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1957
volume,2025-01-01 00:00:00
pagine,47
formato,16
collezion,"ENCICLICA SULLA CINEMATOGRAFIA,RADIO,TELEVISIONE -"
data_crea,2003-02-25 00:00:00
n_scheda,42038
segnatura,SR
noName,262.1/152
cod_sez,AE
n_s_sez,3
autore,"PIO XII, PAPA"
edizione,III
luogo_pub,ROMA
editore,PAOLINE
data_pub,COPYRIGHT 1958
volume,2025-01-01 00:00:00
pagine,83
formato,16
collezion,ENCICLICA SULLA LITURGIA N. 18
data_crea,2003-02-25 00:00:00
n_scheda,42037
segnatura,SR
noName,262.1/151
cod_sez,AE
n_s_sez,3
autore,"PIO XII, PAPA"
edizione,I
luogo_pub,ROMA
editore,TIP. GROTTAFERRATA
data_pub,COPYRIGHT 1975
volume,2025-01-01 00:00:00
pagine,93
formato,20
collezion,ENCICLICA SUL CULTO AL S. CUORE
data_crea,2003-02-25 00:00:00
n_scheda,42036
segnatura,SR
noName,262.1/150
cod_sez,AE
n_s_sez,3
